Date,DayWeek,HoursWorked,Hour,FracHour,Hours
30-Mar,Friday,4:33,4,0.55,4.55
31-Mar,Saturday,4:09,4,0.15,4.15
1-Apr,Sunday,5:01,5,0.01666666667,5.016666667
2-Apr,Monday,1:58,1,0.9666666667,1.966666667
3-Apr,Tuesday,2:35,2,0.5833333333,2.583333333
4-Apr,Wednesday,8:10,8,0.1666666667,8.166666667
9-Apr,Monday,3:35,3,0.5833333333,3.583333333
10-Apr,Tuesday,0:53,0,0.8833333333,0.8833333333
11-Apr,Wednesday,3:31,3,0.5166666667,3.516666667
12-Apr,Thursday,3:22,3,0.3666666667,3.366666667
14-Apr,Saturday,0:11,0,0.1833333333,0.1833333333
15-Apr,Sunday,3:22,3,0.3666666667,3.366666667
16-Apr,Monday,3:45,3,0.75,3.75
17-Apr,Tuesday,5:30,5,0.5,5.5
18-Apr,Wednesday,4:09,4,0.15,4.15
19-Apr,Thursday,2:03,2,0.05,2.05
20-Apr,Friday,1:03,1,0.05,1.05
21-Apr,Saturday,4:18,4,0.3,4.3
22-Apr,Sunday,4:05,4,0.08333333333,4.083333333
23-Apr,Monday,2:51,2,0.85,2.85
24-Apr,Tuesday,2:39,2,0.65,2.65
25-Apr,Wednesday,3:43,3,0.7166666667,3.716666667
26-Apr,Thursday,4:18,4,0.3,4.3
27-Apr,Friday,0:22,0,0.3666666667,0.3666666667
28-Apr,Saturday,7:43,7,0.7166666667,7.716666667
29-Apr,Sunday,5:35,5,0.5833333333,5.583333333
30-Apr,Monday,3:01,3,0.01666666667,3.016666667
1-May,Tuesday,4:15,4,0.25,4.25
3-May,Thursday,2:52,2,0.8666666667,2.866666667
4-May,Friday,0:10,0,0.1666666667,0.1666666667
5-May,Saturday,11:29,11,0.4833333333,11.48333333
6-May,Sunday,13:56,13,0.9333333333,13.93333333
7-May,Monday,18:00,18,0,18
8-May,Tuesday,4:31,4,0.5166666667,4.516666667
9-May,Wednesday,2:04,2,0.06666666667,2.066666667
10-May,Thursday,2:09,2,0.15,2.15
11-May,Friday,3:02,3,0.03333333333,3.033333333
12-May,Saturday,1:02,1,0.03333333333,1.033333333
13-May,Sunday,8:50,8,0.8333333333,8.833333333
16-May,Wednesday,2:18,2,0.3,2.3
21-May,Monday,3:02,3,0.03333333333,3.033333333
22-May,Tuesday,3:48,3,0.8,3.8
23-May,Wednesday,1:30,1,0.5,1.5
24-May,Thursday,3:10,3,0.1666666667,3.166666667
26-May,Saturday,3:14,3,0.2333333333,3.233333333
27-May,Sunday,8:29,8,0.4833333333,8.483333333
28-May,Monday,4:22,4,0.3666666667,4.366666667
29-May,Tuesday,3:49,3,0.8166666667,3.816666667
30-May,Wednesday,0:13,0,0.2166666667,0.2166666667
31-May,Thursday,3:12,3,0.2,3.2
1-Jun,Friday,2:04,2,0.06666666667,2.066666667
2-Jun,Saturday,6:36,6,0.6,6.6
3-Jun,Sunday,0:42,0,0.7,0.7
4-Jun,Monday,1:33,1,0.55,1.55
5-Jun,Tuesday,3:19,3,0.3166666667,3.316666667
6-Jun,Wednesday,3:15,3,0.25,3.25
9-Jun,Saturday,5:53,5,0.8833333333,5.883333333
10-Jun,Sunday,2:42,2,0.7,2.7
11-Jun,Monday,3:24,3,0.4,3.4
12-Jun,Tuesday,4:54,4,0.9,4.9
13-Jun,Wednesday,0:00,0,0,0
19-Aug,Sunday,1:29,1,0.4833333333,1.483333333
29-Aug,Wednesday,5:14,5,0.2333333333,5.233333333
30-Aug,Thursday,2:10,2,0.1666666667,2.166666667
31-Aug,Friday,1:41,1,0.6833333333,1.683333333
1-Sep,Saturday,4:46,4,0.7666666667,4.766666667
2-Sep,Sunday,0:00,0,0,0
3-Sep,Monday,3:20,3,0.3333333333,3.333333333
4-Sep,Tuesday,3:08,3,0.1333333333,3.133333333
5-Sep,Wednesday,3:03,3,0.05,3.05
6-Sep,Thursday,2:31,2,0.5166666667,2.516666667
7-Sep,Friday,5:00,5,0,5
8-Sep,Saturday,4:44,4,0.7333333333,4.733333333
9-Sep,Sunday,6:49,6,0.8166666667,6.816666667
10-Sep,Monday,4:39,4,0.65,4.65
11-Sep,Tuesday,1:28,1,0.4666666667,1.466666667
12-Sep,Wednesday,1:30,1,0.5,1.5
13-Sep,Thursday,3:04,3,0.06666666667,3.066666667
14-Sep,Friday,3:00,3,0,3
15-Sep,Saturday,2:36,2,0.6,2.6
16-Sep,Sunday,5:05,5,0.08333333333,5.083333333
17-Sep,Monday,2:26,2,0.4333333333,2.433333333
18-Sep,Tuesday,1:43,1,0.7166666667,1.716666667
